dtype,Size,Time
b16,256,0.016383999958634377
16,256,0.016383999958634377
32,256,0.016383999958634377
b16,1280,0.016383999958634377
16,1280,0.016383999958634377
32,1280,0.016383999958634377
b16,2304,0.018432000651955605
16,2304,0.018432000651955605
32,2304,0.07116799987852573
b16,3328,0.11110400035977364
16,3328,0.07372800074517727
32,3328,0.159231998026371
b16,4352,0.15564800053834915
16,4352,0.1525760069489479
32,4352,0.27136000990867615
b16,5376,0.22783999890089035
16,5376,0.22937600314617157
32,5376,0.41471999883651733
b16,6400,0.30617600679397583
16,6400,0.3020800054073334
32,6400,0.6051839888095856
b16,7424,0.4116480052471161
16,7424,0.38655999302864075
32,7424,0.8038400113582611
b16,8448,0.5242879986763
16,8448,0.5340160131454468
32,8448,1.0255360007286072
b16,9472,0.6702080070972443
16,9472,0.6451199948787689
32,9472,1.306111991405487
b16,10496,0.837119996547699
16,10496,0.8094720244407654
32,10496,1.618943989276886
b16,11520,1.0030080080032349
16,11520,0.9768959879875183
32,11520,1.9717119932174683
b16,12544,1.207808017730713
16,12544,1.182208001613617
32,12544,2.3838720321655273
b16,13568,1.4269440174102783
16,13568,1.3890559673309326
32,13568,2.834432005882263
b16,14592,1.6558079719543457
16,14592,1.6138240098953247
32,14592,3.3351680040359497
b16,15616,1.9256319999694824
16,15616,10.869247913360596
32,15616,22.716927528381348
b16,16640,12.696063995361328
16,16640,12.621823787689209
32,16640,25.425408363342285
b16,17664,14.506495952606201
16,17664,13.606911659240723
32,17664,29.08774471282959
b16,18688,15.401983737945557
16,18688,15.410687923431396
32,18688,31.81516742706299
b16,19712,18.155519485473633
16,19712,18.185728073120117
32,19712,36.381696701049805
b16,20736,19.960320472717285
16,20736,19.988479614257812
32,20736,39.52742385864258
b16,21760,22.25612735748291
16,21760,20.884480476379395
32,21760,43.67616081237793
b16,22784,24.553983688354492
16,22784,24.54374408721924
32,22784,48.20172882080078
b16,23808,26.336255073547363
16,23808,26.36288070678711
32,23808,52.76723289489746
b16,24832,29.10310459136963
16,24832,29.120512008666992
32,24832,57.2912654876709
b16,25856,5.565439939498901
16,25856,31.798272132873535
32,25856,61.8470401763916
b16,26880,33.46329689025879
16,26880,33.16736030578613
32,26880,67.0463981628418
b16,27904,36.38015937805176
16,27904,36.373504638671875
32,27904,71.86893081665039
b16,28928,39.084543228149414
16,28928,39.0753288269043
32,28928,48.78950214385986
b16,29952,41.34297752380371
16,29952,41.82681655883789
32,29952,83.47648239135742
b16,30976,45.446144104003906
16,30976,44.56038284301758
32,30976,89.92921447753906
b16,32000,8.994304180145264
16,32000,48.177663803100586
32,32000,82.8769302368164
b16,33024,50.92198371887207
16,33024,50.89587211608887
32,33024,101.88748931884766
b16,34048,54.5536003112793
16,34048,54.1081600189209
32,34048,107.36332702636719
b16,35072,57.27231979370117
16,35072,57.3255672454834
32,35072,114.58201599121094
b16,36096,60.0314884185791
16,36096,60.020734786987305
32,36096,121.07008361816406
b16,37120,64.58726119995117
16,37120,64.50995254516602
32,37120,128.16998291015625
b16,38144,67.29676818847656
16,38144,67.33158493041992
32,38144,135.56121826171875
b16,39168,71.79980850219727
16,39168,71.09683227539062
32,39168,142.2745590209961
b16,40192,75.08121490478516
16,40192,74.57587051391602
32,40192,150.35391998291016
b16,41216,26.312703132629395
16,41216,79.14086151123047
32,41216,158.2719955444336
b16,42240,83.56966400146484
16,42240,82.79551696777344
32,42240,166.36978912353516
b16,43264,87.78751754760742
16,43264,86.63859176635742
32,43264,174.62271881103516
b16,44288,90.94246292114258
16,44288,90.9480972290039
32,44288,182.53260803222656
b16,45312,95.34259033203125
16,45312,95.41580581665039
32,45312,190.96729278564453
b16,46336,100.04684829711914
16,46336,100.04889297485352
32,46336,200.1018829345703
b16,47360,104.62054443359375
16,47360,104.59750366210938
32,47360,208.74649810791016
b16,48384,109.12409591674805
16,48384,109.20191955566406
32,48384,217.82527923583984
b16,49408,113.53804779052734
16,49408,113.63276672363281
32,49408,227.2020492553711
b16,50432,119.10041427612305
16,50432,117.80300903320312
32,50432,237.10873413085938
b16,51456,123.66694641113281
16,51456,121.87545776367188
32,51456,246.21363067626953
b16,52480,111.00057601928711
16,52480,128.26367950439453
32,52480,255.77574920654297
b16,53504,133.65452575683594
16,53504,133.67245483398438
32,53504,266.40692138671875
b16,54528,138.64447784423828
16,54528,138.25946044921875
32,54528,275.7790832519531
b16,55552,143.68357849121094
16,55552,143.72608184814453
32,55552,286.919677734375
b16,56576,148.79641723632812
16,56576,148.31769561767578
32,56576,297.85345458984375
b16,57600,154.0838394165039
16,57600,153.85446166992188
32,57600,308.2593231201172
b16,58624,160.195068359375
16,58624,159.68717193603516
32,58624,319.98976135253906
b16,59648,165.11334991455078
16,59648,165.52703857421875
32,59648,330.65370178222656
b16,60672,171.75244140625
16,60672,171.2419891357422
32,60672,341.8455047607422
b16,61696,177.19091033935547
16,61696,177.19091033935547
32,61696,353.72032165527344
b16,62720,183.33184051513672
16,62720,183.07123565673828
32,62720,365.16966247558594
b16,63744,188.7820816040039
16,63744,188.98687744140625
32,63744,377.80018615722656
b16,64768,195.37254333496094
16,64768,195.45753479003906
32,64768,389.5910339355469
