b,m,k,n
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,784,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
256,48,48,784
256,48,784,48
256,784,48,48
256,48,48,784
