m,k,n
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
12544,768,768
16,1000,768
1000,16,768
16,768,3072
768,16,3072
16,3072,768
3072,16,768
16,768,768
768,16,768
12560,768,768
768,12560,768
12560,768,768
768,12560,768
16,768,768
768,16,768
16,768,3072
768,16,3072
16,3072,768
3072,16,768
16,768,768
768,16,768
12560,768,768
768,12560,768
12560,768,768
768,12560,768
16,768,768
768,16,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
12544,768,3072
768,12544,3072
12544,3072,768
3072,12544,768
768,12544,768
12544,768,768
12544,2304,768
2304,12544,768
