grad_out_shape,query_shape,key_shape,value_shape
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])","torch.Size([32, 8, 77, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
"torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])","torch.Size([32, 12, 50, 64])"
